일정,대회명,장소,구분,참가대상,분류
2026.04.25,2026 전국생활체육대축전 빙상대회,창원 의창,국내,,생활체육
2026.05.31,제24회 대한체육회장배 전국생활체육 빙상대회,의정부,국내,,생활체육
2026.06.27,제35회 문화체육관광부장관기 전국생활체육빙상대회,인천,국내,,생활체육
2026.07.23-24,제42회 교보생명켭 꿈나무 체육대회,고양,국내,,
2026.08.20,제29회 전국남녀 쇼트트랙스피드스케이팅 꿈나무 선수권대회 서울시 예선,목동,국내,서울시 선수,
2026.08.23,2026년 청소년스포츠한마당,의정부,국내,,
2026.09.04-06,2026 전국남녀 주니어 쇼트트랙스피드스케이팅 선수권대회 겸 2026/27 시즌 ISU 쇼트트랙 주니어 월드컵 파견선수 선발대회 및 2027 주니어 쇼트트랙스피드스케이팅 선수권대회 파견선수 선발대회,의정부,국내,,전문+생활
2026.09.12-13,제33회 동계세계대학경기대회 파견선수 선발대회,미정,국내,,
2026.10.03-04,제29회 전국남녀 쇼트트랙스피드스케이팅 꿈나무 선수권대회,전주,국내,"각 시,도 대표",
2026.10.16-18,제5회 국무총리배전국남녀 쇼트트랙스피드스케이팅 대회,춘천,국내,,
2026.10.23-25,ISU 쇼트트랙 월드투어 1차대회,밴쿠버/캐나다,국제,국가대표,
2026.10.30-11.01,ISU 쇼트트랙 월드투어 2차대회,몬트리올/캐나다,국제,국가대표,
2026.11.06-08,ISU 주니어 쇼트트랙월드컵 1차대회,보르미오/이탈리아,국제,주니어국가대표,
2026.11.12-14,ISU 주니어 쇼트트랙월드컵 2차대회,보르미오/아탈리아,국제,주니어국가대표,
2026.11.20-22,ISU 쇼트트랙 월드투어 3차대회,서울/대한민국,국제,국가대표,
2026.11.17-19,ISU 쇼트트랙 월드투어 4차대회,상하이/중국,국제,국가대표,
2026.12.04-06,ISU 쇼트트랙 월드투어 5차대회,베이징/중국,국제,국가대표,
2026.12.04-06,제42회 회장배 전국남녀 쇼트트랙 스피드스케이팅 대회,미정,국내,,
2026.12.19-20,제2회 유클리배 U-16 쇼트트랙스피드스케이팅 선수권대회,성남,국내,,
미정,제 8회 전국동계체육대회,춘천,국내,"각 시,도 대표",
2027.01.15-25,027 창춘 동계세계대학경기대회(유대회),창춘/중국,국제,선발전 상위 6인,
2027.01.22-24,ISU 주니어 쇼트트랙월드컵 3차대회,아스타나/카자흐스탄,국제,주니어국가대표,
2027.01.28-31,2027 ISU 주니어 쇼트트랙 세계선수권대회,아스티나/카자흐스탄,국제,주니어국가대표,
2027.02.05-07,ISU 쇼트트랙 월드투어 6차대회,그단스크/폴란드,국제,국가대표,
2027.02.12-14,ISU 쇼트트랙 월드투어 7차대회,튈뷔르흐/네덜란드,국제,국가대표,
2027.03.12-14,ISU 세계선수권대회,서울/대한민국,국제,국가대표,
2027.03.19-21,제41회 종별종합 쇼트트랙스피드스케이팅 선수권대회,성남,국내,,
2027.04.06-08,2027/28시즌 쇼트트랙 국가대표 1차 선발대회,미정,국내,,
2027.04.10-11,2027/28시즌 쇼트트랙 국가대표 2차 선발대회,미정,국내,,
